N,r,M,a0,a1,b0,b1,a0_cf,a1_cf,b0_cf,b1_cf,ll,ll_cf,iters,iters_cf
2000,27,225,0.00413476154262669,0.0319207006921999,0.6269541406916926,0.9039558686623473,0.0040687701093133155,0.03224703308697701,0.6220582379724033,0.9053901472623466,-3019.457499864359,-3019.454248421484,39,40
2000,28,243,0.0022830524520439676,0.04065122723388253,0.7283091241227236,0.9297768688875276,0.0022984381526773637,0.04063881355919211,0.7295461970025315,0.9296998146556443,-2944.1062088744643,-2944.1074237782677,65,66
2000,29,177,0.008957741051819155,0.02396301780912256,0.7565481257220432,0.8535562876653742,0.009011727071739698,0.02394833871619697,0.758177131322609,0.8533648643706349,-3060.771767913553,-3060.772516745939,16,17
2000,30,211,0.003436622812905415,0.030750412529891635,0.8810813997255895,0.8405246204171948,0.0034153196832828357,0.03094394734778662,0.8800240676735152,0.8424513932661671,-3054.825911798619,-3054.8273361817683,11,10
2000,31,183,0.0026847373364946446,0.022175994243149384,0.7307471142639623,0.9220253509629154,0.0027063485562083987,0.02217101706629869,0.7315651347150549,0.9220033274249025,-3031.1118149142194,-3031.1125669740745,30,30
2000,32,246,0.002091411080893776,0.038010017065007666,0.6454686759727046,0.9092368277657483,0.0020292284423812723,0.03721480738995274,0.6490933875029766,0.9059817609105275,-2968.9802818163107,-2969.0049056032603,50,48
2000,33,224,0.005832501090255859,0.037592963077292825,0.7981195000356288,0.8632740978268012,0.005882698596797232,0.03756695659362493,0.7989492322413524,0.8631310223959734,-3055.455232296148,-3055.4556569800984,15,17
2000,34,147,0.004131305944953385,0.022281938133738327,0.7339060269449537,0.8806754055387286,0.004148674817873229,0.02229834861056876,0.7344120692573142,0.8807864814269236,-3047.1008547845227,-3047.1011394012553,17,18
2000,35,237,0.005822117521201573,0.033543979794397875,0.721481472411756,0.8916261388454472,0.005851008034800256,0.03353624279033927,0.7225563787639061,0.8915805119112513,-2945.969594451688,-2945.9704312512604,20,20
2000,36,293,0.0014397425993563392,0.03863671123340814,0.784611293050233,0.9110648537830608,0.0014678006144078464,0.038615400649894924,0.7859330074362025,0.9109745637151354,-2918.935925949071,-2918.937197935299,47,47
2000,37,183,0.0018449857995259643,0.025615098304343317,0.683981699034712,0.903594255161909,0.001783045901866176,0.025890175247937432,0.6776901913159595,0.9050974389663246,-2987.6545742284984,-2987.649912673615,58,56
2000,38,135,0.007067345944268795,0.024343728266644448,0.696283001051118,0.8544255022923084,0.007143762960780263,0.023262767616741762,0.7041486097943274,0.8437867667835183,-3106.4798074846417,-3106.536866233497,18,19
2000,39,227,0.007641427223826466,0.025436193227865764,0.8244052957332036,0.8985357667749533,0.007693282625269829,0.025450500488072965,0.8253067044996382,0.8985613953480911,-2977.878024997936,-2977.8784735293966,15,16
2000,40,139,0.004461609596776123,0.02683017900908744,0.5671107879391912,0.8407773012918709,0.004455782725410537,0.027001237848892135,0.5659543336765649,0.8418092798559185,-3088.585876576926,-3088.585277522952,20,20
2000,41,242,0.014745320432627227,0.024574850691621235,0.7670833479481921,0.911069386573129,0.014808884215326158,0.024599072752737733,0.7678335061327812,0.9111849966722657,-2985.4438342171297,-2985.444412248713,14,14
2000,42,167,0.003432903283300652,0.028390025038819655,0.6405003404603008,0.8653215645718705,0.0034477433953517492,0.028385059835480935,0.6411675623527198,0.8652970519067915,-3019.4372862936784,-3019.437898061371,18,18
2000,43,244,0.0035681322963427554,0.0270392454409859,0.4094349392118989,0.9203026864637361,0.003600935540644577,0.026212721147423446,0.41721308188058365,0.9170706416997143,-2926.702477721304,-2926.7463563470137,58,63
2000,44,195,0.008612764868655521,0.03168428116045368,0.7791587050596216,0.8904163128145737,0.008668716501471798,0.031635928494190474,0.780689935542665,0.8901245585549685,-3051.018210273503,-3051.0190771074685,22,23
2000,45,140,0.0012652479586195292,0.026451639933522265,0.7110020479329505,0.869382159166027,0.0012810274014814855,0.02644522560404335,0.7117425711836745,0.869326752061437,-3048.8122355703154,-3048.8127811884115,39,39
2000,46,328,0.007968318117555686,0.03901789367237463,0.8815873262207357,0.8886566375870776,0.007896205521520578,0.03943269479088438,0.8804433414938936,0.890130016293325,-2953.5624875161216,-2953.5642390227404,17,13
2000,47,257,0.00242214316593075,0.04771478508344346,0.703059406419266,0.9038635060323172,0.0024399125161643745,0.047698142743013934,0.7046775771313037,0.9037718323404013,-2909.2701552822773,-2909.2716303756283,57,57
2000,48,249,0.0049117374590061805,0.03978152377785028,0.6507586575349267,0.911682994213897,0.004935428955953923,0.039767384654135166,0.6517375311684677,0.9116423821538706,-2958.2356811682757,-2958.236772257622,35,35
2000,49,233,0.005016286574015333,0.04135745043133525,0.6084800977424791,0.8887379508667959,0.004994380423777011,0.041750116015129714,0.6061203774252416,0.8900162252640517,-2988.25968273527,-2988.259177547107,25,25
2000,50,194,0.006269179967311157,0.02860317799977685,0.6753891582116524,0.8935072873904752,0.0062542234356317,0.028865753077243334,0.673834242336558,0.8947781438823265,-3074.3474268916284,-3074.347497860899,20,19
2000,51,254,0.00023586092406799954,0.029811499858840157,0.7410362307194692,0.9066702776014708,0.00024001636853726352,0.030045064284225986,0.7376817066044361,0.9079794774988581,-2980.28426697379,-2980.28432758933,30,29
2000,52,190,0.00928819304126847,0.033264792902586944,0.7478277090611838,0.8791075802711374,0.00925888426924703,0.03365226709738125,0.7469387350188681,0.8809395347266508,-3040.698467463811,-3040.6996595745636,12,11
2000,53,268,0.005423648565950133,0.041687935178509175,0.9079854859425867,0.8533453940931248,0.005515578160739001,0.04162692590543421,0.9089486637579434,0.8527490226283682,-2911.1704286103923,-2911.1703880492405,13,13
2000,54,179,0.006295326621273231,0.02485584320379426,0.5439530593501658,0.9132224870616221,0.006302969501103121,0.024931246239787215,0.54387484657374,0.9136342966903747,-3048.9174743465114,-3048.9172621181056,33,33
2000,55,207,0.0034008366262193996,0.03320143499543233,0.3941440543737932,0.9111626886657077,0.0034095411323153036,0.03319854119691755,0.3948379530283548,0.9111568976744525,-3041.3763732856423,-3041.3777301947785,50,51
2000,56,170,0.011155580603885246,0.01841177527986407,0.6814056158980657,0.9081426367012969,0.011120785178835265,0.018632847750279,0.6791711030684932,0.9096867046352942,-3036.2340030776927,-3036.2331333256743,21,21
