model,scenario,N,r,M,bursts,LR,ll0,ll1,it0,it1,tr0_maxgap,tr1_max,tr1_argmax,tr1_first,LL0_th1,P0,P1,L1step0,nev0,nev1,th0_mu0,th1_mu0,th0_mu1,th1_mu1,th0_s0,th1_s0,th0_s1,th1_s1,th0_A00,th1_A00,th0_A11,th1_A11,alt_onset0,alt_onset1,alt_persistence0,alt_persistence1,seconds
hmc_dn,markov-null,500,80,48,6,1.8467707888707992,-557.8378628007966,-556.9144774063612,53,25,0.0,0.9286879087559328,5,4.547473508864641e-13,-557.8954543873598,-556.8931732997426,-556.9125619090433,-557.1526086506097,13,11,-0.9626425415415589,-0.975992958502216,1.1540098722422178,1.1552455539142072,0.9456282658391062,0.9354396946301982,0.9031106898153586,0.892633080657146,0.9350349487492636,0.9345895193507059,0.8823855461365097,0.8843976567615892,0.0068856249902579545,0.024573132277495257,0.9152863613884412,0.8204163618550282,3.321646213531494
hmc_dn,markov-null,500,81,42,12,2.659367001220744,-639.4519866258897,-638.1223031252794,69,70,0.1651221885144878,1.329683500610372,69,0.0,-639.6670178950358,-638.3112248164776,-638.0763128268349,-639.0388983420603,23,12,-1.3811202653847243,-1.391831763288149,0.8860541629254095,0.8933295576357911,0.8491069181843434,0.8335754086067225,1.172072165242196,1.1656318780877801,0.8274279264396799,0.8406513313330997,0.9231268696766138,0.9208858014707748,0.03213594282834718,0.02339395390451611,0.9106767000594129,0.5079501871328188,6.100444316864014
hmc_dn,markov-null,500,82,26,8,2.575605518673683,-572.9609904592484,-571.6731876999115,56,78,0.006855362245005381,1.2878027593368415,77,2.2737367544323206e-13,-572.9637320051748,-571.7249043051194,-571.4782721553867,-572.0815238832128,13,78,-1.116796017907782,-1.0745408025616916,0.9059827306594415,0.9142884423685917,1.1940205200608383,1.20812347413963,1.0828525240844258,1.0899840597196253,0.9437474141498582,0.9436935700065102,0.9572929726183941,0.9539835246382103,0.028835959392205558,0.007540017459535438,0.7762653277793838,0.5083163125404563,7.377500772476196
hmc_dn,markov-null,500,83,82,13,8.216007532448657,-592.8781246065947,-588.7701208403704,89,53,0.0,4.112590143035277,23,1.1368683772161603e-12,-593.3602800884062,-589.2793396581773,-588.7370571351313,-590.2152857000657,17,52,-0.7643262399002384,-0.6487859217264187,1.1697505091531153,1.1220345530347702,1.0462014483168844,1.1215295316392495,0.8735123762053121,0.9438689508029965,0.9085582376285857,0.9055833778764542,0.9121364566965632,0.9038382384459283,0.0004639714041125976,0.06274288345218838,0.8814290692929763,0.8040062981825653,7.471930742263794
hmc_dn,markov-null,500,84,61,10,2.4867500933762585,-594.7648794712197,-593.5215044245316,37,36,0.018753455103933447,1.2433750466881293,35,-1.1368683772161603e-13,-594.6947966215034,-593.68082025328,-593.5195717155761,-594.0111026090178,12,12,-1.020542855128972,-1.0528857329368866,1.0413013188104254,1.0098623702956702,0.8617525780966607,0.8462470089762444,0.8547083366828443,0.8705288644177561,0.8760442322393001,0.8771767440405092,0.8768774161298468,0.8777792790571605,0.03603221280018636,0.009861273931727931,0.8714714821833968,0.7651875286819652,3.468219041824341
hmc_dn,markov-null,500,85,21,5,1.1244735631562435,-559.6219804532839,-559.0597436717057,31,21,0.15477364242099156,0.5622367815781217,20,3.410605131648481e-13,-559.660018441891,-558.9667680815297,-558.9639293629161,-559.3688672365432,15,11,-0.628715057323721,-0.6318621777968978,1.392890056062304,1.4101832281973823,1.0268509176764722,1.0208857224384986,0.9408572220692089,0.9291408350417382,0.9426493140975419,0.9409825809004743,0.8595395133636039,0.8590309881132175,0.009542250160475416,0.012072933654362433,0.6804414299042955,0.9386932984777665,2.5469460487365723
hmc_dn,markov-null,500,86,21,4,3.763576534546246,-614.3673278489774,-612.4855395817043,33,22,0.22213010937105082,1.881788267273123,21,3.410605131648481e-13,-614.3613326132031,-612.5023309845841,-612.4717381202918,-612.9266851104602,48,46,-1.0156702131665096,-1.0242004434115968,1.2685697139738112,1.270170779254388,1.004729990367126,0.9970370534776508,0.9918944702257477,0.9874970231132277,0.9130284713942012,0.9143238987798952,0.8859407374577292,0.8869757308643804,0.015051035483715084,5.2555305656026044e-05,0.805300436241955,0.8269412194859641,4.681120872497559
hmc_dn,markov-null,500,87,58,8,6.807294814646866,-600.9469001921098,-597.5432527847863,78,136,1.2237081364388587,3.403647407323433,135,4.547473508864641e-13,-599.2149269962072,-600.7161730616643,-597.4308767784124,-600.8731695230579,34,49,-0.6424426223157949,-1.143913005761212,1.1110318320018875,0.96021143130317,1.3537215544371197,1.056396633477165,1.1930488012388845,1.1852310658114387,0.9161941142637462,0.9110085115933758,0.8127175066773581,0.8931565669149653,0.035095852160781205,0.0007187316510492255,0.9005974619611571,0.665950217988208,10.47978687286377
hmc_dn,markov-null,500,88,56,8,1.0287244374158035,-588.7473245137792,-588.2329622950713,60,39,0.06786368377890994,0.5204508373379895,7,7.958078640513122e-13,-588.7626793925834,-588.2358943951908,-588.2303000953264,-588.3722590914382,26,10,-1.01284040858337,-1.0139840554681379,0.9851028097623082,0.9902157983231129,0.855733135523967,0.8532149055138495,0.8770265664972371,0.8728024131929091,0.9120912683513182,0.9145563535245674,0.8822363017684584,0.8811914449235819,0.015549918653384504,0.020860816467569283,0.9076696670739708,0.7844957348226153,4.966361999511719
hmc_dn,markov-null,500,89,55,8,-1.2687669913023,-583.8516037071709,-584.485987202822,226,146,0.5130685242518211,0.7752961532828522,5,-3.410605131648481e-13,-585.4569706212837,-582.750262048389,-584.4700873709132,-583.3972131723941,44,45,-0.7304508616838141,-0.28391672156962267,0.7074073492957443,0.6585725722958828,1.1083045983728035,1.3019315200797807,1.18752074807086,1.228126739801964,0.859919315023051,0.8867307629560047,0.9153452677561069,0.8870005685804622,0.0009912146122034564,0.03635718508686587,0.8337239378873692,0.8872366204184817,15.645560026168823
hmc_dn,markov-null,500,90,52,13,0.16290352178475587,-610.7509732576561,-610.6695214967638,69,48,0.0,0.08145176089237793,47,4.547473508864641e-13,-610.7387463725264,-610.6842286848731,-610.6694854238136,-610.7037178586436,10,8,-1.1018190741159672,-1.1171613738697175,0.7630168544260558,0.7449443078450666,0.9751739273907856,0.9693300733427263,1.19162112846666,1.1974371076593449,0.9172047173090098,0.9157350854168648,0.9383238334888345,0.9386945918714689,0.0338203488912797,0.025353934243539454,0.7562617898486867,0.7400757056788213,5.150300741195679
