case,N,r,M,rates0_c0,rates1_c0,rates0_c0.1,rates1_c0.1,rates0_c1,rates1_c1,rates0_c10,rates1_c10,onset0_c0,onset1_c0,persistence0_c0,persistence1_c0,onset0_c0.1,onset1_c0.1,persistence0_c0.1,persistence1_c0.1,onset0_c1,onset1_c1,persistence0_c1,persistence1_c1,onset0_c10,onset1_c10,persistence0_c10,persistence1_c10
"state-(0.02,0.3)",500,83,85,0.002579756314441886,0.2811426793224947,0.002951947226253402,0.28112301351034075,0.005179938899674088,0.2808330712950735,0.017080682993156675,0.2771064638293533,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,84,63,0.009912605314508655,0.3599388650076301,0.009957234854299201,0.35978880352823495,0.010365131953720682,0.3584496555990075,0.014121035617267349,0.3459179679844358,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,85,51,0.01821625996492875,0.295704869602849,0.018242799205220917,0.2955886496110519,0.018506064563492974,0.29433325179767855,0.02105056232932833,0.2824816190595863,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,86,97,0.028053416878496697,0.34376956523150115,0.028152621315584842,0.34370234828065355,0.029105062890004585,0.34301757568141616,0.037848891111761825,0.33646694435762436,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,87,71,0.019673333708612337,0.29174229529884715,0.019767054687519717,0.2916392861500942,0.020712621284676658,0.2906547196357016,0.029054406527942146,0.28158376258282114,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,88,76,0.007879836322842872,0.28047109155266026,0.007953693478140428,0.2804156265626003,0.00860895665336399,0.279915948192231,0.014522029257607183,0.27533628049083764,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,89,112,0.005950601620495104,0.34036658794677677,0.006153137441501756,0.34030284047264076,0.008032077475692023,0.3397628910003678,0.023150998864173735,0.33534492657064335,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,90,59,0.014915292076963987,0.31188366513475957,0.014962631371506272,0.31175577718805675,0.015407494996143929,0.3105819804780243,0.019512540708327197,0.29964258606932476,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,91,71,0.02925772098635793,0.297322385898725,0.02931253560842696,0.2972337989912413,0.029802484508685088,0.2964395068104817,0.03438947790846341,0.2889984525191202,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,92,60,0.005748469449180828,0.2751805986268323,0.005824088857524567,0.27508836697498584,0.006686550625393267,0.27433254724881084,0.013148837013168638,0.26728921741748896,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,93,65,0.028879248065000068,0.31805150424530093,0.028920089692028618,0.317935404969356,0.02927807640654354,0.3169107511985323,0.032692838861279896,0.3071909540711313,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,94,63,0.037102254358237836,0.2186994660049278,0.037150060589057315,0.21865207255788258,0.03757343380080461,0.21822874768001976,0.04152087755011176,0.21425361363995535,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,95,95,0.014732481373991194,0.32705582030078534,0.014921934633286994,0.3269803711429892,0.01678054843028873,0.32629086608596336,0.02974360614763689,0.3203515357988677,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,96,69,0.018845946320578347,0.2618758971192427,0.018904330904402876,0.2618196911499375,0.019423846626617967,0.26131673558252627,0.02428575346449757,0.25653531286040904,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,97,89,0.04076763558701756,0.33421745255850416,0.0408395283854498,0.334141986064741,0.04149131320948647,0.33347208008140883,0.047474772064948836,0.32700579617522857,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,98,77,0.02923281421273802,0.2798672257474793,0.029320113749599017,0.27979649427656267,0.03006055499393107,0.2791751565001576,0.03679927380458052,0.2733365116257558,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,99,81,0.013710798763104295,0.28852534553618886,0.013786523279153655,0.2884707925138104,0.01452105444011499,0.28795688061108954,0.021255661592224494,0.28315481672940573,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,0,314,0.01707599526659732,0.2937413089403524,0.017097688962555053,0.29372493510308684,0.017281319809594745,0.2935777210308102,0.019168308690875723,0.29212830253715455,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,1,347,0.017406809442874434,0.301922883443156,0.01742333141821475,0.30191010622916886,0.017657184863192274,0.30177528941010767,0.01997413567553338,0.30043455036909933,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,2,379,0.021897125036302114,0.3247782653264877,0.021927002608443165,0.3247644840256054,0.022156767138409684,0.3246313042009161,0.024428184425546565,0.32332742214800686,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,3,298,0.019723891221643176,0.3082977078140454,0.019740295633074674,0.3082774903910207,0.019885852153283146,0.3080960116666528,0.021317070545030688,0.3063079931730636,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,4,336,0.020455591223050993,0.27384973855016137,0.020481228774369947,0.27383765830112405,0.0207046831692464,0.2737332069910531,0.02292672732045673,0.27267027561568635,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,5,312,0.017034536230995108,0.29353501208354454,0.017048499107997665,0.29352464514624527,0.01721425153270422,0.2933767647924655,0.01884828672083472,0.2918995081872781,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,6,339,0.025180250572584686,0.2888563799186797,0.025207577225738083,0.2888410509704297,0.02544863311421214,0.28870440929550345,0.027803257100584556,0.2873570079536562,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",2000,7,368,0.015989383226457335,0.31324786802410676,0.016023363412139852,0.31323186073115583,0.0163227979289058,0.3130896199001611,0.019198898106348818,0.311699367971459,,,,,,,,,,,,,,,,
