model,scenario,N,r,B,LR,p_asym,p_boot,B_valid,seconds
hmc_in,state-null,500,144,99,0.00203339869131014,0.9640330038038691,0.97,99,13.612701892852783
hmc_in,state-null,500,145,99,0.32647919870737496,0.5677396551887819,0.56,99,12.347802877426147
hmc_in,state-null,500,146,99,0.4057086200516551,0.5241557162874526,0.57,99,14.37192988395691
hmc_in,state-null,500,147,99,0.08115650181298406,0.7757362304520163,0.77,99,12.824825048446655
hmc_in,state-null,500,148,99,0.014153270419001274,0.9053010895954359,0.93,99,14.20483684539795
hmc_in,state-null,500,149,99,1.2054030513636462,0.2722444505272748,0.26,99,15.701085090637207
hmc_in,state-null,500,150,99,0.40930640556280196,0.5223217565534558,0.42,99,16.972856998443604
hmc_in,state-null,500,151,99,3.1199897186286307,0.07733727156798657,0.14,99,13.942507982254028
hmc_in,state-null,500,152,99,0.03762769811601174,0.8461926366278321,0.83,99,15.242455244064331
hmc_in,state-null,500,153,99,0.011857125935648583,0.9132893965697282,0.89,99,14.723297119140625
hmc_in,state-null,500,154,99,0.1344387615783944,0.7138734546620462,0.73,99,16.605055809020996
hmc_in,state-null,500,155,99,0.6052121460297712,0.4365962381070845,0.5,99,14.107794761657715
hmc_in,state-null,500,156,99,0.0014328249794743897,0.9698051461267474,0.99,99,14.762807130813599
hmc_in,state-null,500,157,99,0.21421147905766702,0.6434863263259669,0.75,99,15.917200803756714
hmc_in,state-null,500,158,99,0.36671466198595226,0.5448005276521377,0.58,99,12.889672040939331
hmc_in,state-null,500,159,99,0.01567595671372146,0.9003623190393775,0.94,99,15.280144214630127
hmc_in,state-null,500,160,99,0.21361045208163887,0.6439521670529247,0.67,99,16.568542003631592
hmc_in,state-null,500,161,99,0.03833531205214058,0.8447713632819389,0.85,99,13.021283149719238
hmc_in,state-null,500,162,99,2.0230913833074737e-06,0.9988651259508737,1.0,99,14.192816972732544
hmc_in,state-null,500,163,99,2.0947082944583144,0.1478099205453131,0.16,99,15.873885154724121
hmc_in,state-null,500,164,99,2.2152700087619905,0.13665115206345246,0.16,99,16.136143922805786
hmc_in,state-null,500,165,99,1.3197009172183698,0.25064573374149446,0.35,99,16.17180895805359
hmc_in,state-null,500,166,99,0.07724232613554705,0.7810699040875815,0.72,99,13.381317853927612
hmc_in,state-null,500,167,99,0.2742047801127683,0.60052501536852,0.7,99,12.46211576461792
hmc_in,state-null,500,168,99,1.0509125560199664,0.30529701061509634,0.33,99,13.20574426651001
hmc_in,state-null,500,169,99,0.6408222872237275,0.4234131918469365,0.52,99,14.666095972061157
hmc_in,state-null,500,170,99,0.03107738862718179,0.860067845685091,0.89,99,13.251338958740234
hmc_in,state-null,500,171,99,0.24130338928330275,0.623266319252366,0.68,99,15.484086990356445
hmc_in,state-null,500,172,99,1.2641733172276872,0.2608626143818291,0.32,99,13.692324876785278
hmc_in,state-null,500,173,99,3.417708660939752,0.06450048056382127,0.07,99,16.966743230819702
hmc_in,state-null,500,174,99,0.6979832879951573,0.4034621695350099,0.46,99,14.136781215667725
hmc_in,state-null,500,175,99,0.5372063814068042,0.4635928040799996,0.49,99,13.022225856781006
