mote,method,family,K,sequential,alpha,correction,threshold,seconds,gap_nodes,log_lik,quad_error,quad_limit,quad_warnings,quad_error_max_warned,other_warnings,other_warning_kinds,n_obs,n_suspect,n_flag,recall,precision,recall_rise,flag_climb,n_climb,flag_ambig,n_ambig,flag_normal,n_normal,flag_post,precision_ext,recall_ext,fa_per_1000,fa_episodes,fa_episodes_per_day,lead_first_h,lead_24h_h,lead_episode_h
22,HMC-IN seq α=0.001,HMC-IN,3.0,True,0.001,none,0.001,1.9716889999981504,64.0,-60695.09535585333,,,0.0,,0.0,,34169,4816,5506,1.0,0.8746821649110061,1.0,526,623,157,1786,0,26937,7,0.9702143116600073,0.9821658393086965,0.0,0,0.0,16.28360531590051,16.28360531590051,6.475108152740376
22,HMC-IN seq α=0.0001,HMC-IN,3.0,True,0.0001,none,0.0001,2.0053586669964716,64.0,-61591.53910347116,,,0.0,,0.0,,34169,4816,5389,1.0,0.8936722954165893,1.0,494,623,72,1786,0,26937,7,0.9853405084431249,0.9762824048538334,0.0,0,0.0,16.133602810431622,16.133602810431622,5.558426174874944
22,HMC-IN nonseq α=0.01,HMC-IN,3.0,False,0.01,none,0.01,1.087798966804985,64.0,-4890661.679162132,,,0.0,,0.0,,34169,4816,5733,1.0,0.8400488400488401,1.0,609,623,300,1786,1,26937,7,0.9462759462759462,0.9974259974259975,0.03712365890782195,1,0.07188378334167385,202.2200443171145,18.31697261225656,6.8334474713605005
22,HMC-IN nonseq α=0.001,HMC-IN,3.0,False,0.001,none,0.001,1.087798966804985,64.0,-4890661.679162132,,,0.0,,0.0,,34169,4816,5506,1.0,0.8746821649110061,1.0,526,623,157,1786,0,26937,7,0.9702143116600073,0.9821658393086965,0.0,0,0.0,16.28360531590051,16.28360531590051,6.475108152740376
22,HMC-IN nonseq α=0.0001,HMC-IN,3.0,False,0.0001,none,0.0001,1.087798966804985,64.0,-4890661.679162132,,,0.0,,0.0,,34169,4816,5389,1.0,0.8936722954165893,1.0,494,623,72,1786,0,26937,7,0.9853405084431249,0.9762824048538334,0.0,0,0.0,16.133602810431622,16.133602810431622,5.558426174874944
22,HMC-IN nonseq BH α=0.01,HMC-IN,3.0,False,0.01,bh,0.0016193040475284616,1.087798966804985,64.0,-4890661.679162132,,,0.0,,0.0,,34169,4816,5533,1.0,0.8704138803542382,1.0,536,623,174,1786,0,26937,7,0.9672871859750587,0.9840044125758411,0.0,0,0.0,16.29193878842656,16.29193878842656,6.475108152740376
22,HMC-IN nonseq BH α=0.001,HMC-IN,3.0,False,0.001,bh,0.00015868184611782612,1.087798966804985,64.0,-4890661.679162132,,,0.0,,0.0,,34169,4816,5422,1.0,0.8882331243083733,1.0,500,623,99,1786,0,26937,7,0.9804500184433789,0.9773855488141202,0.0,0,0.0,16.15026975548372,16.15026975548372,5.558426174874944
22,"threshold 60 °C (suspect rule, T)",threshold,,,60.0,,60.0,0.08503243181886236,,,,,,,,,34169,4816,4816,1.0,1.0,1.0,0,623,0,1786,0,26937,0,1.0,0.8854568854568855,0.0,0,0.0,0.0,0.0,0.0
22,threshold 35 °C,threshold,,,35.0,,35.0,0.08503243181886236,,,,,,,,,34169,4816,5711,1.0,0.8432848888110663,1.0,601,623,287,1786,0,26937,7,0.948520399229557,0.9959551388122817,0.0,0,0.0,16.358606568634954,16.358606568634954,6.8334474713605005
22,threshold 40 °C,threshold,,,40.0,,40.0,0.08503243181886236,,,,,,,,,34169,4816,5187,1.0,0.9284750337381916,1.0,361,623,3,1786,0,26937,7,0.9980721033352612,0.951829380400809,0.0,0,0.0,15.766930019285448,15.766930019285448,3.82506388945667
22,threshold 50 °C,threshold,,,50.0,,50.0,0.08503243181886236,,,,,,,,,34169,4816,4962,1.0,0.9705763804917372,1.0,139,623,0,1786,0,26937,7,0.9985892785167271,0.9110130538701967,0.0,0,0.0,1.3250221316418531,1.3250221316418531,1.3250221316418531
22,clean envelope ±2 °C,envelope,,,2.0,,2.0,0.08503243181886236,,,,,,,,,34169,4816,5446,1.0,0.884318766066838,1.0,506,623,117,1786,0,26937,7,0.9772309952258539,0.9784886927744071,0.0,0,0.0,16.15026975548372,16.15026975548372,5.958432856125315
22,Hampel t=3,hampel,,,3.0,,3.0,0.08503243181886236,,,,,,,,,34169,4816,201,0.0031146179401993356,0.07462686567164178,0.015479876160990712,27,623,87,1786,72,26937,0,0.208955223880597,0.007722007722007722,2.672903441363181,26,1.86897836688352,350.53085486321555,23.76706364429286,0.2750045933596299
22,Hampel t=4,hampel,,,4.0,,4.0,0.08503243181886236,,,,,,,,,34169,4816,140,0.0014534883720930232,0.05,0.0046439628482972135,21,623,71,1786,41,26937,0,0.2,0.005148005148005148,1.5220700152207,19,1.365791883491803,325.81377535095305,23.76706364429286,-1.1666861536469146
22,Hampel t=5,hampel,,,5.0,,5.0,0.08503243181886236,,,,,,,,,34169,4816,114,0.0006229235880398671,0.02631578947368421,0.0,19,623,63,1786,29,26937,0,0.19298245614035087,0.004044861187718331,1.0765861083268367,13,0.93448918344176,296.613287619676,23.76706364429286,-11.733529316677542
22,robust z 24 h t=3,robust_z,,,3.0,,3.0,0.08503243181886236,,,,,,,,,34169,4816,3211,0.14098837209302326,0.2114606041731548,0.6795665634674922,264,623,408,1786,1853,26937,7,0.29367798193709127,0.17337745909174482,68.79013995619408,7,0.5031864833917169,357.2226333016332,18.4753085902515,2.641710790757657
22,robust z 24 h t=4,robust_z,,,4.0,,4.0,0.08503243181886236,,,,,,,,,34169,4816,2393,0.13413621262458472,0.26995403259506895,0.628482972136223,183,623,145,1786,1412,26937,7,0.3464270789803594,0.15241772384629526,52.4186063778446,4,0.2875351333666954,351.8225431047532,17.158619931135696,2.091701604038397
22,robust z 24 h t=5,robust_z,,,5.0,,5.0,0.08503243181886236,,,,,,,,,34169,4816,2107,0.12832225913621262,0.2933080208827717,0.5851393188854489,112,623,80,1786,1290,26937,7,0.3464641670621737,0.1342158485015628,47.889519991090324,4,0.2875351333666954,351.8142096322271,16.333606151056806,1.041684065756174
47,PMC seq BH α=0.01,PMC,3.0,True,0.01,bh,0.0008364594636490468,496.26558908299194,64.0,66890.91884432036,,,0.0,,1.0,Missing-data pass: a step underflows in linear space,32255,2271,2698,1.0,0.8417346182357301,1.0,356,401,28,925,43,28658,0,0.9736842105263158,0.9831586826347305,1.5004536255146905,7,0.4713174963319325,270.5378520856674,16.15860322800977,16.15860322800977
47,PMC seq BH α=0.001,PMC,3.0,True,0.001,bh,8.066966361804372e-05,498.6838717079954,64.0,66634.7821416425,,,0.0,,1.0,Missing-data pass: a step underflows in linear space,32255,2271,2602,1.0,0.8727901614142967,1.0,314,401,15,925,2,28658,0,0.9934665641813989,0.9674401197604791,0.06978854072161352,1,0.06733107090456178,38.400641400035596,16.15860322800977,16.15860322800977
47,PMC seq α=0.01,PMC,3.0,True,0.01,none,0.01,269.1074645000044,64.0,66112.91837736667,,,0.0,,1.0,Missing-data pass: a step underflows in linear space,32255,2271,3705,1.0,0.6129554655870445,1.0,373,401,118,925,943,28658,0,0.7136302294197031,0.9895209580838323,32.90529695024077,79,5.319154601460381,380.30635219879,23.983733929970146,17.133619513557548
47,PMC seq α=0.001,PMC,3.0,True,0.001,none,0.001,239.0943904579908,64.0,66894.11211045382,,,0.0,,1.0,Missing-data pass: a step underflows in linear space,32255,2271,2707,1.0,0.8389360916143332,1.0,358,401,29,925,49,28658,0,0.9711858145548578,0.9839071856287425,1.709819247679531,7,0.4713174963319325,270.5378520856674,16.15860322800977,16.15860322800977
47,PMC seq α=0.0001,PMC,3.0,True,0.0001,none,0.0001,125.37897416698979,64.0,66657.65591617474,,,0.0,,0.0,,32255,2271,2605,1.0,0.8717850287907869,1.0,316,401,15,925,3,28658,0,0.9930902111324377,0.968188622754491,0.10468281108242027,1,0.06733107090456178,38.400641400035596,16.15860322800977,16.15860322800977
47,PMC nonseq α=0.01,PMC,3.0,False,0.01,none,0.01,37.722866583400176,64.0,-1651689.8407504682,31592.74375985058,0.05,0.0,,0.0,,32255,2271,470,0.023337736679876705,0.1127659574468085,0.39316239316239315,129,401,35,925,253,28658,0,0.3872340425531915,0.06811377245508982,8.828250401284109,79,5.319154601460381,380.30635219879,23.167053622417306,3.475058043362596
47,PMC nonseq α=0.001,PMC,3.0,False,0.001,none,0.001,37.722866583400176,64.0,-1651689.8407504682,31592.74375985058,0.05,0.0,,0.0,,32255,2271,190,0.022457067371202115,0.26842105263157895,0.39316239316239315,114,401,17,925,8,28658,0,0.868421052631579,0.061751497005988025,0.27915416288645406,7,0.4713174963319325,270.5378520856674,16.15860322800977,3.475058043362596
47,PMC nonseq α=0.0001,PMC,3.0,False,0.0001,none,0.0001,37.722866583400176,64.0,-1651689.8407504682,31592.74375985058,0.05,0.0,,0.0,,32255,2271,162,0.02157639806252752,0.30246913580246915,0.39316239316239315,104,401,8,925,1,28658,0,0.9444444444444444,0.05726047904191617,0.03489427036080676,1,0.06733107090456178,38.400641400035596,16.15860322800977,3.475058043362596
47,PMC nonseq BH α=0.01,PMC,3.0,False,0.01,bh,4.774453573089444e-05,37.722866583400176,64.0,-1651689.8407504682,31592.74375985058,0.05,0.0,,0.0,,32255,2271,154,0.02157639806252752,0.3181818181818182,0.39316239316239315,98,401,6,925,1,28658,0,0.9545454545454546,0.05501497005988024,0.03489427036080676,1,0.06733107090456178,38.400641400035596,15.18358694246199,3.475058043362596
47,PMC nonseq BH α=0.001,PMC,3.0,False,0.001,bh,4.278406448612619e-06,37.722866583400176,64.0,-1651689.8407504682,31592.74375985058,0.05,0.0,,0.0,,32255,2271,138,0.021136063408190225,0.34782608695652173,0.39316239316239315,86,401,4,925,0,28658,0,0.9710144927536232,0.050149700598802395,0.0,0,0.0,15.18358694246199,15.18358694246199,3.475058043362596
47,HMC-IN seq BH α=0.01,HMC-IN,3.0,True,0.01,bh,0.0011272670903735857,5.9696242500212975,64.0,-46447.77144754286,,,0.0,,0.0,,32255,2271,3636,1.0,0.6245874587458746,1.0,401,401,24,925,940,28658,0,0.7348734873487349,1.0,32.80061413915835,3,0.20199321271368537,271.1211951624909,15.18358694246199,15.18358694246199
47,HMC-IN seq BH α=0.001,HMC-IN,3.0,True,0.001,bh,0.00010193768407998763,5.989542833005544,64.0,-49178.89111577459,,,0.0,,0.0,,32255,2271,3288,1.0,0.6906934306569343,1.0,379,401,2,925,636,28658,0,0.8059610705596107,0.9917664670658682,22.192755949473096,3,0.20199321271368537,270.3961830527246,15.18358694246199,15.18358694246199
