mote,method,zone,start,start_epoch,hours,n_flags,n_obs,y_min,y_max,median_prev_hour,jump_at_start,gap_before_h
47,HMC-IN seq α=0.001,normal,2004-03-13 14:21,41926,3.4833915158886453,387,387,29.4944,32.3168,28.8574,0.00980000000000203,0.008333472526049391
47,HMC-IN seq α=0.001,normal,2004-03-14 14:13,44791,2.750045933596299,312,312,29.6708,32.0816,28.534,0.029399999999998983,0.008333472526049391
47,HMC-IN seq α=0.001,normal,2004-03-20 14:13,62070,2.3833731424501257,225,225,29.5924,31.7092,28.485,0.029399999999998983,0.008333472526049391
47,HMC-IN seq α=0.001,climb,2004-03-24 06:14,72632,15.025250964467052,424,444,29.0534,59.6,28.142,1.7346000000000004,0.008333472526049391
47,Hampel t=4,normal,2004-03-09 08:56,29757,0.5000083515629634,2,55,19.3612,19.959,19.5131,0.058799999999997965,0.008333472526049391
47,Hampel t=4,normal,2004-03-09 14:31,30426,0.008333472526049391,2,2,21.1742,21.184,21.639699999999998,0.11759999999999948,0.008333472526049391
47,Hampel t=4,normal,2004-03-09 16:03,30610,0.0,1,1,22.556,22.556,21.8994,0.16660000000000252,0.016666945052098783
47,Hampel t=4,normal,2004-03-12 11:11,38667,0.0,1,1,20.2628,20.2628,20.3216,0.029399999999998983,0.008333472526049391
47,Hampel t=4,normal,2004-03-12 12:14,38793,3.050050944534077,6,315,20.1256,22.8892,20.3314,-0.09800000000000253,0.008333472526049391
47,Hampel t=4,normal,2004-03-12 17:17,39398,0.0,1,1,23.6144,23.6144,22.6344,0.009799999999998477,0.008333472526049391
47,Hampel t=4,normal,2004-03-14 20:24,45533,0.0,1,1,21.8896,21.8896,21.9092,0.07840000000000202,0.008333472526049391
47,Hampel t=4,normal,2004-03-14 22:27,45778,0.0,1,1,21.478,21.478,21.6005,-0.11759999999999948,0.008333472526049391
47,Hampel t=4,normal,2004-03-15 08:09,46943,0.0,1,1,20.5176,20.5176,20.2824,-0.0686,0.008333472526049391
47,Hampel t=4,normal,2004-03-15 09:19,47083,0.0,1,1,21.1448,21.1448,20.7332,0.1372,0.008333472526049391
47,Hampel t=4,normal,2004-03-15 12:32,47469,0.0,1,1,19.2436,19.2436,19.6699,-0.176400000000001,0.008333472526049391
47,Hampel t=4,normal,2004-03-16 15:11,50667,0.0,1,1,22.0072,22.0072,21.6544,-0.03919999999999746,0.008333472526049391
47,Hampel t=4,normal,2004-03-16 17:42,50969,0.0,1,1,22.507,22.507,23.9182,-0.26459999999999795,0.008333472526049391
47,Hampel t=4,normal,2004-03-17 08:50,52784,0.008333472526049391,2,2,18.587,18.6164,18.2636,-0.07840000000000202,0.008333472526049391
47,Hampel t=4,normal,2004-03-17 11:51,53147,0.0,1,1,19.2044,19.2044,19.1652,-0.05880000000000152,0.008333472526049391
47,Hampel t=4,normal,2004-03-17 13:31,53346,0.0,1,1,19.665,19.665,19.4396,0.0686,0.008333472526049391
47,Hampel t=4,normal,2004-03-17 17:50,53864,0.0,1,1,21.8112,21.8112,22.85,-0.09799999999999898,0.008333472526049391
47,Hampel t=4,normal,2004-03-18 14:48,56381,0.0,1,1,20.7724,20.7724,21.1252,-0.03919999999999746,0.008333472526049391
47,Hampel t=4,normal,2004-03-18 17:11,56666,0.0,1,1,21.8308,21.8308,21.9876,-0.03920000000000101,0.008333472526049391
47,Hampel t=4,normal,2004-03-19 11:59,58922,0.0,1,1,20.988,20.988,20.9684,0.029399999999998983,0.008333472526049391
47,Hampel t=4,normal,2004-03-22 07:09,66983,0.0,1,1,17.4208,17.4208,17.6756,-0.23519999999999897,0.40000668125037075
47,Hampel t=4,normal,2004-03-23 08:34,70032,0.0,1,1,18.5576,18.5576,18.0382,0.2744,0.008333472526049391
47,Hampel t=4,normal,2004-03-23 13:35,70635,0.0,1,1,22.1738,22.1738,21.865099999999998,0.029399999999998983,0.008333472526049391
47,Hampel t=4,normal,2004-03-23 19:25,71335,0.0833347252604939,2,10,22.36,22.6638,22.5805,0.26459999999999795,0.008333472526049391
47,Hampel t=4,ambiguous,2004-03-23 20:48,71500,4.425073911332227,11,451,21.5662,23.1342,21.919,0.6076000000000015,0.008333472526049391
47,Hampel t=4,ambiguous,2004-03-24 02:50,72224,0.8500141976570379,3,92,23.5164,24.6728,23.2518,-0.17639999999999745,0.008333472526049391
47,Hampel t=4,climb,2004-03-24 05:15,72515,3.8750647246129666,15,403,26.966,38.3536,26.0644,1.6855999999999973,0.025000417578148172
47,Hampel t=4,climb,2004-03-24 10:48,73181,0.0,1,1,40.0882,40.0882,37.1041,1.9207999999999998,0.033333890104197565
47,robust z 24 h t=4,normal,2004-03-09 07:22,29569,1.0083501756519764,87,109,18.3518,20.4392,21.7524,-0.05880000000000152,0.008333472526049391
47,robust z 24 h t=4,normal,2004-03-11 14:35,36194,1.9083652084653104,31,32,22.0856,24.4376,21.3898,0.4704000000000015,0.13333556041679026
47,robust z 24 h t=4,normal,2004-03-15 15:39,47843,0.21667028567728416,25,25,23.9966,29.4062,21.4927,0.5390000000000015,0.008333472526049391
47,robust z 24 h t=4,normal,2004-03-23 09:06,70096,6.850114416412599,720,720,19.7728,24.1142,18.366500000000002,0.1372,0.008333472526049391
47,robust z 24 h t=4,climb,2004-03-24 05:15,72515,16.00026725001483,510,544,26.966,59.6,26.0644,1.6855999999999973,0.025000417578148172
47,threshold 40 °C,climb,2004-03-24 10:48,73181,0.0,1,1,40.0882,40.0882,37.1041,1.9207999999999998,0.033333890104197565
47,threshold 40 °C,climb,2004-03-24 13:18,73480,7.9584662623771685,81,93,38.6868,59.6,39.1425,0.725200000000001,0.10000167031259269
