study,rate,method,spike_last,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
pmc_gauss_k2,0.01,pmc_state_K2|true,True,12,6.0028,36.034,5.9361,5.2357,4.6176,0,0,0.83333,9.4637
pmc_gauss_k2,0.01,pmc_state_K2|clean,True,12,0.53082,0.28177,0.46162,0.3025,0.34069,0.58333,0.91667,1,3.98
pmc_gauss_k2,0.01,pmc_state_K2|raw+gate,True,12,2.4601,6.0522,1.7848,1.1314,1.1887,0.41667,0.83333,0.83333,6.5353
pmc_gauss_k2,0.01,pmc_state_K2|raw,True,12,4.0141,16.113,3.8864,2.379,2.4635,0.41667,0.75,0.83333,11.251
pmc_gauss_k2,0.01,pmc_state_K2|robust+gate,True,12,1.0836,1.1741,0.82514,0.55215,0.58428,0.58333,0.91667,1,4.8882
pmc_gauss_k2,0.01,pmc_state_K2|robust,True,12,5.8812,34.589,5.7816,5.1135,4.4358,0,0.41667,0.83333,9.7739
pmc_gauss_k2,0.01,pmc_state_K2|hampel+gate,True,12,1.0836,1.1741,0.82514,0.55215,0.58428,0.58333,0.91667,1,4.8882
pmc_gauss_k2,0.01,ar1|raw,True,12,4.9059,24.068,4.8438,4.0793,4.0793,0,0,0,5.3169
pmc_gauss_k2,0.01,ar1|raw+gate,True,12,1.1483,1.3185,0.99492,0.6704,0.6704,0.66667,0.91667,1,6.1099
pmc_gauss_k2,0.01,ar1|robust+gate,True,12,0.60884,0.37069,0.52334,0.37514,0.37514,0.66667,0.91667,1,3.9681
pmc_gauss_k2,0.01,persistence|raw,True,12,8.4622,71.609,8.437,7.8131,,0,0,0,5.3324
pmc_gauss_k2,0.01,ar1|clean,True,12,0.51713,0.26742,0.44597,0.32264,0.32264,0.75,1,1,3.5588
pmc_gauss_k2,0.01,persistence|clean,True,12,0.56818,0.32282,0.45835,0.33055,,0.41667,0.91667,1,4.0318
pmc_gauss_k2,0.05,pmc_state_K2|true+gate,False,947,0.92579,0.85708,0.67117,0.48291,0.4923,0.4604,0.78036,0.9472,3.8373
pmc_gauss_k2,0.05,pmc_state_K2|true+gate,True,43,1.3392,1.7935,0.97138,0.70107,0.72104,0.48837,0.72093,0.93023,4.4687
pmc_gauss_k2,0.05,pmc_state_K2|true,False,947,0.92834,0.86181,0.67431,0.48681,0.49498,0.45407,0.77086,0.94192,3.7369
pmc_gauss_k2,0.05,pmc_state_K2|true,True,43,6.2713,39.33,6.1701,5.4382,4.8333,0,0,0.86047,9.5712
