study,method,h,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
mote20,hmc_in_K3|robust,23,107,1.42984,2.04443,1.11889,0.812175,0.807043,0.383178,0.71028,0.869159,4.99872
mote20,hmc_in_K3|robust,24,111,1.42536,2.03165,1.12102,0.811383,0.805774,0.387387,0.702703,0.873874,5.05504
mote20,hmc_in_K3|robust,6,102,1.34549,1.81034,1.05719,0.758309,0.753364,0.401961,0.735294,0.882353,4.26891
mote20,hmc_in_K3|robust,8,104,1.39511,1.94634,1.09903,0.793343,0.78844,0.394231,0.682692,0.865385,4.32866
mote20,hmc_in_K3|robust,21,100,1.34467,1.80815,1.04623,0.762398,0.755459,0.41,0.72,0.89,4.88007
tsnh4,hmc_in_K3|raw+gate,1,93,0.303565,0.0921515,0.25755,0.184846,0.173358,0.419355,0.83871,1,1.38865
tsnh4,hmc_in_K3|raw+gate,2,93,0.298152,0.0888946,0.252048,0.181432,0.171502,0.537634,0.83871,1,1.50833
tsnh4,hmc_in_K3|raw+gate,3,93,0.31579,0.0997232,0.261311,0.190097,0.18076,0.462366,0.849462,1,1.66699
tsnh4,hmc_in_K3|raw+gate,4,93,0.331757,0.110063,0.274126,0.198437,0.18921,0.462366,0.870968,1,1.79921
tsnh4,hmc_in_K3|raw+gate,5,93,0.339706,0.1154,0.276927,0.202262,0.193456,0.473118,0.892473,1,1.88927
tsnh4,hmc_in_K3|raw+gate,6,93,0.341127,0.116367,0.284838,0.207173,0.197597,0.473118,0.88172,1,1.96156
tsnh4,hmc_in_K3|raw+gate,7,93,0.3692,0.136309,0.301779,0.222425,0.211036,0.451613,0.88172,1,2.02268
tsnh4,hmc_in_K3|raw+gate,8,93,0.388527,0.150953,0.308981,0.230575,0.218899,0.44086,0.849462,1,2.07462
tsnh4,hmc_in_K3|raw+gate,9,93,0.402836,0.162276,0.323069,0.240279,0.22781,0.397849,0.83871,1,2.12028
tsnh4,hmc_in_K3|raw+gate,10,93,0.423928,0.179715,0.325662,0.24591,0.235024,0.44086,0.83871,1,2.1613
