station,rate,block,seed,n_hidden,n_real_missing,method,K,n,rmse,mae,crps,crps_kind,cov90,width90,fit_s,status,impute_s,n_iter,ll,agree_ref_observed,agree_ref_hidden,n_warnings,pi_sorted,mean_sorted,sd_sorted,stay_sorted,margins,copulas,finite_params
aotizhongxin,0.2,48,1,1728,37,linear,0,1728,1.1819433489836537,0.8903324905825424,0.8903324905825424,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,48,1,1728,37,locf,0,1728,1.2800220702090261,0.9745272036093545,0.9745272036093545,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,48,2,1728,37,ar1,0,1728,1.033019092147285,0.8147812438230903,0.570581773224616,gaussian,0.8859953703703703,2.9827245729880127,0.011843250002129935,,,,,,,,,,,,,,
aotizhongxin,0.2,48,2,1728,37,linear,0,1728,1.0416747875516037,0.7885324427017648,0.7885324427017648,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,48,2,1728,37,locf,0,1728,1.4464043583928479,1.0728691094493614,1.0728691094493614,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,48,3,1728,37,ar1,0,1728,1.0157174016198767,0.781056110626943,0.5505989956300132,gaussian,0.8668981481481481,2.856138281455708,0.00852691600084654,,,,,,,,,,,,,,
aotizhongxin,0.2,48,3,1728,37,linear,0,1728,1.10527592242115,0.8116564880750213,0.8116564880750213,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,48,3,1728,37,locf,0,1728,1.4037471192194606,1.057662782648234,1.057662782648234,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,48,4,1728,37,ar1,0,1728,0.9228248145739908,0.7086787521549198,0.5083640373319157,gaussian,0.8935185185185185,2.988132961591274,0.008948624999902677,,,,,,,,,,,,,,
aotizhongxin,0.2,48,4,1728,37,linear,0,1728,1.0255197675490988,0.7578633531438649,0.7578633531438649,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.2,48,4,1728,37,locf,0,1728,1.42925802877174,1.0804922782273938,1.0804922782273938,dirac(=mae),,,,,,,,,,,,,,,,,
aotizhongxin,0.05,1,0,438,37,hmc_in,3,438,0.404359996336755,0.3103103234671628,0.2346504689549591,samples,0.954337899543379,1.6824962698193022,0.6629547500015178,ok,0.22934929099938017,14.0,-6341.674369699445,0.9925165962582981,0.9611872146118722,0.0,0.2871|0.3961|0.3167,2.6009|4.1089|5.1296,0.6416|0.3727|0.3779,0.9495|0.9344|0.9593,0:norm;1:norm;2:norm,,True
