task_id,task,wall_s
huairou__K3__pmc_state_gice__impute__s0__65a4a9e0,fit,165.22372666699812
huairou__K3__pmc_state_gice__sem__s0__09c94c71,fit,31.315214916001423
huairou_rawlog__K2__hmc_in__available__s0__32876fac,fit,0.4375022500025807
huairou_rawlog__K2__pmc_state__available__s0__f000cd32,fit,5.389590167000279
huairou_rawlog__K3__hmc_in__available__s0__28cb2b1d,fit,0.7547506669980066
huairou_rawlog__K3__pmc_state__available__s0__a10d0a03,fit,12.987034000001586
mnar__2fb4ec0c,mnar,5.145321415999206
mnar__60c15b3e,mnar,4.67788579199987
mnar__ea3ed793,mnar,5.592190625000512
oracle__06fa5c4d,oracle,0.4775365830028022
oracle__0fedef1b,oracle,0.24610154200127
oracle__38994ab4,oracle,0.7051249590003863
oracle__425fe6a3,oracle,0.6051371249996009
oracle__4d213a42,oracle,0.5025479169999016
oracle__55502fd1,oracle,0.47395241599951987
oracle__6a05d7e5,oracle,0.21650316700106487
oracle__6cfd9dfd,oracle,0.23591524999937974
oracle__9afb2e95,oracle,0.46350824999899487
oracle__9b22c784,oracle,0.22943012499672477
oracle__a2367620,oracle,0.6487151660003292
oracle__c0cf000c,oracle,0.6363774169985845
oracle__d29fc3ef,oracle,0.21292491599888308
oracle__d7869454,oracle,0.49009237499922165
oracle__d78b717d,oracle,0.2648628750030184
oracle__db6def57,oracle,0.4833051669993438
oracle__f6000d85,oracle,0.5854820829990786
oracle__f66af569,oracle,0.6166621250013122
pamap2_102_complete__K2__hmc_in__complete__s0__de17306c,fit,0.4298432909999974
pamap2_102_complete__K2__hmc_in__complete__s1__c0742827,fit,0.5116026669966232
pamap2_102_complete__K2__hmc_in__complete__s2__998d89ed,fit,0.43714033300057054
pamap2_102_complete__K2__pmc_pair__complete__s0__af672e93,fit,7.079650167001091
pamap2_102_complete__K2__pmc_pair__complete__s1__ff51ad17,fit,6.581746374999057
pamap2_102_complete__K2__pmc_pair__complete__s2__883d915a,fit,2.6671424170017417
pamap2_102_complete__K2__pmc_state__complete__s0__472e1add,fit,3.1099551250008517
pamap2_102_complete__K2__pmc_state__complete__s1__4f0b04fd,fit,2.09366237499853
pamap2_102_complete__K2__pmc_state__complete__s2__c76dbcae,fit,2.624887707999733
