series,K,model,strategy,start,method,gap_class,n,rmse,mae,crps,crps_kind,cov90,width90,impute_s,ar1_params
tsnh4,2,pmc_state,impute,2,pmc_posterior,all,883,0.317594916843326,0.19674152207858195,0.13562308432158976,samples,0.927519818799547,0.9242095014752961,0.4054363330033084,
tsnh4,2,pmc_state,sem,0,pmc_posterior,1-2,120,0.10087091508911204,0.057001556085640726,0.04403662080891839,samples,0.8916666666666667,0.24349061070859968,0.4088639579968003,
tsnh4,2,pmc_state,sem,0,pmc_posterior,3-20,300,0.08822252581008316,0.06280151740355362,0.05454156236678659,samples,0.9466666666666667,0.45107036129707345,0.4088639579968003,
tsnh4,2,pmc_state,sem,0,pmc_posterior,>20,463,0.4090026553389804,0.3091098715649455,0.21590628967866343,samples,0.9352051835853131,1.390142963715633,0.4088639579968003,
tsnh4,2,pmc_state,sem,0,pmc_posterior,all,883,0.3028891941820178,0.19116479330227945,0.137725340122681,samples,0.9331823329558324,0.915261805067375,0.4088639579968003,
tsnh4,2,pmc_state,sem,1,pmc_posterior,1-2,120,0.10167365747315849,0.057040804588203625,0.04346614946783904,samples,0.8916666666666667,0.2220588627770629,0.4228110000003653,
tsnh4,2,pmc_state,sem,1,pmc_posterior,3-20,300,0.08736155911541849,0.06218776871629866,0.050471797736118984,samples,0.9333333333333333,0.3770687060859506,0.4228110000003653,
tsnh4,2,pmc_state,sem,1,pmc_posterior,>20,463,0.41174168482478934,0.3090768230329604,0.20759289847242124,samples,0.9222462203023758,1.3313687886031365,0.4228110000003653,
tsnh4,2,pmc_state,sem,1,pmc_posterior,all,883,0.30478083593656363,0.19094427659086605,0.13190599009026888,samples,0.9218573046432617,0.8563889291985105,0.4228110000003653,
tsnh4,2,pmc_state,sem,2,pmc_posterior,1-2,120,0.10149894131077898,0.05734560650888196,0.04381744528947954,samples,0.875,0.22019178363515599,0.4170089580002241,
tsnh4,2,pmc_state,sem,2,pmc_posterior,3-20,300,0.08754615554187889,0.062155315838615645,0.05038956373534165,samples,0.9433333333333334,0.3672069547262081,0.4170089580002241,
tsnh4,2,pmc_state,sem,2,pmc_posterior,>20,463,0.4231533433900283,0.31747490002596696,0.21318168542317445,samples,0.9352051835853131,1.3921886992478187,0.4170089580002241,
