model,k,rate,rep,N,n_spikes,method,detect,false_rate,nbr_false,n_masked,err_clean,fits,converged,seconds,mu0,mu1,sd0,sd1,A00,A11,tau00,tau11,prescreen_detect,prescreen_false
hmc_in_gauss_k2,8,0.01,0,2000,20,fm_warm,1.0,0.000505050505050505,0,21,0.07424242424242422,3,True,0.30045262500061654,-0.9672570936274685,0.957731945064056,1.0063129590002278,1.0371270434590987,0.9148710653923904,0.9109184554946662,nan,nan,,
hmc_in_gauss_k2,4,0.05,0,2000,100,true_seq,0.94,0.0005263157894736842,0,95,0.07947368421052636,0,True,0.04749379100030637,,,,,,,,,,
hmc_in_gauss_k2,4,0.05,0,2000,100,true_nonseq,0.94,0.0005263157894736842,0,95,nan,0,True,0.04719033400033368,,,,,,,,,,
hmc_in_gauss_k2,4,0.05,0,2000,100,true_raw,0.0,0.0,0,0,0.08263157894736839,0,True,0.0,,,,,,,,,,
hmc_in_gauss_k2,4,0.05,0,2000,100,clean,0.0,0.0,0,0,0.07526315789473681,1,True,0.038308834000417846,-0.9854533026928367,0.9834429733662021,0.9947163168348382,1.0305108670040486,0.9053606422395285,0.9006837925461041,nan,nan,,
hmc_in_gauss_k2,4,0.05,0,2000,100,raw,0.0,0.0,0,0,0.10736842105263156,1,True,0.057413208998696064,-0.9621837067129033,1.2365396213856714,0.9979745830439992,1.8662183224586808,0.8727117230936328,0.8978622998396246,nan,nan,,
hmc_in_gauss_k2,4,0.05,0,2000,100,oracle,1.0,0.0,0,100,0.07684210526315793,1,True,0.03877250000005006,-0.9899424418191998,0.997171236299331,0.9994329971552576,1.0280808133723145,0.9065761000196139,0.9010940912193017,nan,nan,,
hmc_in_gauss_k2,4,0.05,0,2000,100,fm,0.91,0.0005263157894736842,0,92,0.07842105263157895,9,True,0.8338192089995573,-0.9993316486868982,0.9991689707269149,0.9969925678189381,1.0536659562703905,0.8999329889050173,0.8982777013415051,nan,nan,,
hmc_in_gauss_k2,4,0.05,0,2000,100,fm_hampel,0.91,0.0005263157894736842,0,92,0.07842105263157895,7,True,0.6418286669995723,-0.9993316486868982,0.9991689707269149,0.9969925678189381,1.0536659562703905,0.8999329889050173,0.8982777013415051,nan,nan,0.49,0.01
hmc_in_gauss_k2,4,0.05,0,2000,100,fm_warm,0.91,0.0005263157894736842,0,92,0.07894736842105265,10,True,0.7881100419999711,-1.0121415468189694,0.9660498157229708,0.9941823118844874,1.0736509412620625,0.9021734075604195,0.9050659396590476,nan,nan,,
hmc_in_gauss_k2,6,0.05,0,2000,100,true_seq,1.0,0.0005263157894736842,0,101,0.07578947368421052,0,True,0.046509292000337155,,,,,,,,,,
hmc_in_gauss_k2,6,0.05,0,2000,100,true_nonseq,1.0,0.0005263157894736842,0,101,nan,0,True,0.04760320900095394,,,,,,,,,,
hmc_in_gauss_k2,6,0.05,0,2000,100,true_raw,0.0,0.0,0,0,0.0836842105263158,0,True,0.0,,,,,,,,,,
hmc_in_gauss_k2,6,0.05,0,2000,100,clean,0.0,0.0,0,0,0.0736842105263158,1,True,0.03757466699971701,-0.9854533026928367,0.9834429733662021,0.9947163168348382,1.0305108670040486,0.9053606422395285,0.9006837925461041,nan,nan,,
hmc_in_gauss_k2,6,0.05,0,2000,100,raw,0.0,0.0,0,0,0.4889473684210527,1,True,0.2601677920010843,-0.02368294601591123,8.42551441613988,1.4156727769798503,1.3390935566012527,0.9473721629732816,1.262497135665298e-09,nan,nan,,
hmc_in_gauss_k2,6,0.05,0,2000,100,oracle,1.0,0.0,0,100,0.07894736842105265,1,True,0.03859862500030431,-0.9907507849817548,0.9821147946942387,0.9893448549859771,1.0416758463800648,0.9060606316816645,0.9027395628058364,nan,nan,,
hmc_in_gauss_k2,6,0.05,0,2000,100,fm,0.0,0.0,0,0,0.4889473684210527,1,True,0.30385641700013366,-0.02368294601591123,8.42551441613988,1.4156727769798503,1.3390935566012527,0.9473721629732816,1.262497135665298e-09,nan,nan,,
hmc_in_gauss_k2,6,0.05,0,2000,100,fm_hampel,1.0,0.0005263157894736842,0,101,0.07842105263157895,3,True,0.2780194170009054,-0.9913173922177532,0.97882356483842,0.9891738950266887,1.03135332325922,0.9058431461311987,0.90244599372693,nan,nan,0.81,0.01
hmc_in_gauss_k2,6,0.05,0,2000,100,fm_warm,0.0,0.0,0,0,0.4889473684210527,1,True,0.3062289170011354,-0.02368294601591123,8.42551441613988,1.4156727769798503,1.3390935566012527,0.9473721629732816,1.262497135665298e-09,nan,nan,,
hmc_in_gauss_k2,8,0.05,0,2000,100,true_seq,1.0,0.0005263157894736842,0,101,0.07789473684210524,0,True,0.0470078750004177,,,,,,,,,,
hmc_in_gauss_k2,8,0.05,0,2000,100,true_nonseq,1.0,0.0005263157894736842,0,101,nan,0,True,0.04698758400081715,,,,,,,,,,
hmc_in_gauss_k2,8,0.05,0,2000,100,true_raw,0.0,0.0,0,0,0.09631578947368424,0,True,0.0,,,,,,,,,,
hmc_in_gauss_k2,8,0.05,0,2000,100,clean,0.0,0.0,0,0,0.07578947368421052,1,True,0.03852804199959792,-0.9854533026928367,0.9834429733662021,0.9947163168348382,1.0305108670040486,0.9053606422395285,0.9006837925461041,nan,nan,,
hmc_in_gauss_k2,8,0.05,0,2000,100,raw,0.0,0.0,0,0,0.488421052631579,1,True,0.1487769589984964,-0.03230369802599722,11.407803375684574,1.4143546068808563,1.3566339803767287,0.9473385010108731,6.037268293860032e-14,nan,nan,,
hmc_in_gauss_k2,8,0.05,0,2000,100,oracle,1.0,0.0,0,100,0.07842105263157895,1,True,0.038564540998777375,-0.9927436545974072,0.9850185248469132,0.9969183329703033,1.0269622402856136,0.9046894718531766,0.8993093258725537,nan,nan,,
hmc_in_gauss_k2,8,0.05,0,2000,100,fm,0.01,0.0,0,1,0.488421052631579,2,True,0.3887503749992902,-0.032299743149425963,11.367371661928317,1.4143614109889795,1.3016615522095465,0.9478628040795368,5.6531547053405106e-14,nan,nan,,
hmc_in_gauss_k2,8,0.05,0,2000,100,fm_hampel,1.0,0.0005263157894736842,0,101,0.07842105263157895,2,True,0.1809191659995122,-0.9933209522171806,0.9817428198307979,0.996704252492184,1.0163677976470145,0.9044642899851864,0.8989955562562729,nan,nan,0.96,0.01
hmc_in_gauss_k2,8,0.05,0,2000,100,fm_warm,0.01,0.0,0,1,0.488421052631579,2,True,0.26270083300005354,-0.032297668759235586,11.36741825610542,1.4143649860780583,1.3015563999899602,0.9478630502479007,4.474176249574379e-21,nan,nan,,
hmc_in_gauss_k2,0,0.0,1,2000,0,true_seq,nan,0.001,0,2,0.057499999999999996,0,True,0.04833129100006772,,,,,,,,,,
hmc_in_gauss_k2,0,0.0,1,2000,0,true_nonseq,nan,0.001,0,2,nan,0,True,0.0480929589994048,,,,,,,,,,
hmc_in_gauss_k2,0,0.0,1,2000,0,true_raw,nan,0.0,0,0,0.05700000000000005,0,True,0.0,,,,,,,,,,
