config,criterion,run,i,j,true,sel,hit
exp1_orig_p,huard_global,91,0,1,GH,Clayton,0
exp1_orig_p,huard_global,91,1,0,GH,Clayton,0
exp1_orig_p,huard_global,91,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,92,0,0,Gauss,GH,0
exp1_orig_p,huard_global,92,0,1,GH,Clayton,0
exp1_orig_p,huard_global,92,1,0,GH,Clayton,0
exp1_orig_p,huard_global,92,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,93,0,0,Gauss,Clayton,0
exp1_orig_p,huard_global,93,0,1,GH,Gauss,0
exp1_orig_p,huard_global,93,1,0,GH,Clayton,0
exp1_orig_p,huard_global,93,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,94,0,0,Gauss,GH,0
exp1_orig_p,huard_global,94,0,1,GH,Gauss,0
exp1_orig_p,huard_global,94,1,0,GH,GH,1
exp1_orig_p,huard_global,94,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,95,0,0,Gauss,GH,0
exp1_orig_p,huard_global,95,0,1,GH,GH,1
exp1_orig_p,huard_global,95,1,0,GH,GH,1
exp1_orig_p,huard_global,95,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,96,0,0,Gauss,Clayton,0
exp1_orig_p,huard_global,96,0,1,GH,Clayton,0
exp1_orig_p,huard_global,96,1,0,GH,GH,1
exp1_orig_p,huard_global,96,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,97,0,0,Gauss,GH,0
exp1_orig_p,huard_global,97,0,1,GH,GH,1
exp1_orig_p,huard_global,97,1,0,GH,Clayton,0
exp1_orig_p,huard_global,97,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,98,0,0,Gauss,GH,0
exp1_orig_p,huard_global,98,0,1,GH,Gauss,0
exp1_orig_p,huard_global,98,1,0,GH,Gauss,0
exp1_orig_p,huard_global,98,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,99,0,0,Gauss,GH,0
exp1_orig_p,huard_global,99,0,1,GH,Clayton,0
exp1_orig_p,huard_global,99,1,0,GH,Clayton,0
exp1_orig_p,huard_global,99,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,0,0,0,Student,Student,1
exp2_orig_p,huard_global,0,0,1,CubSec,Student,0
exp2_orig_p,huard_global,0,1,0,CubSec,Student,0
exp2_orig_p,huard_global,0,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,1,0,0,Student,Student,1
exp2_orig_p,huard_global,1,0,1,CubSec,Student,0
exp2_orig_p,huard_global,1,1,0,CubSec,Student,0
exp2_orig_p,huard_global,1,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,2,0,0,Student,Student,1
exp2_orig_p,huard_global,2,0,1,CubSec,Student,0
exp2_orig_p,huard_global,2,1,0,CubSec,Student,0
exp2_orig_p,huard_global,2,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,3,0,0,Student,Student,1
exp2_orig_p,huard_global,3,0,1,CubSec,GH,0
exp2_orig_p,huard_global,3,1,0,CubSec,Student,0
exp2_orig_p,huard_global,3,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,4,0,0,Student,Student,1
exp2_orig_p,huard_global,4,0,1,CubSec,Student,0
exp2_orig_p,huard_global,4,1,0,CubSec,Student,0
exp2_orig_p,huard_global,4,1,1,Clayton,Clayton,1
